h2_ppm,ch4_ppm,c2h2_ppm,c2h4_ppm,c2h6_ppm,co_ppm,co2_ppm,fault_type
36.437672591119394,23.872132806824744,0.7221757216898197,17.120615102800933,13.312658596464448,440.0051126930266,3295.7254302704623,0
315.6694048214555,26.872098207688477,1.735695283491204,27.935025989138733,17.978764152437325,482.3226357997446,3274.4300401378446,1
34.49974961817684,23.245088825033903,0.9055983273498244,19.263113413856075,14.409718343600066,492.4847704118985,3671.211859085422,0
391.028492390403,34.01301287059776,0.6708319306379176,18.68243606444744,14.292069752181902,456.9178162334852,5414.142273018086,1
131.34001917125778,154.42016408594975,179.13919935943483,217.55194785243017,22.128553639848825,759.4007148883137,3627.563852611361,3
286.9493985389438,112.58205881496117,169.2971032174475,278.23418819698475,9.616385647777177,487.65651205209593,2304.8999026953875,3
597.119235212348,48.284179427627436,2.014669233151872,18.239581453616157,14.405544542340936,512.711442967795,5624.053900704353,1
55.88115610399853,351.8142372036572,5.127617941343355,539.6903393707848,49.985581715998244,1038.262945618958,6534.581728352953,5
35.84100061491465,29.035900590498947,0.8731508450848979,18.89929000606929,13.945688019296902,471.1888042733849,3149.9808447873206,0
51.06300244009862,212.28579266037417,0.8645276328587614,177.45809369861334,87.8211424320784,902.1179024126719,6024.445314859846,4
32.52317582339874,26.722696643937294,1.1052930439331905,18.373251866558444,15.596279479289294,465.4717677527671,3886.2349410247925,0
37.416750449248404,444.9710158762264,3.24679397022722,438.42721934923867,50.271108018247816,735.7125856802282,5217.456940061666,5
475.9960471235006,100.58668600416816,377.585051503026,263.4572970469177,28.000804767289228,314.1312559675065,3888.7865517314917,3
254.104204178935,26.341463002351567,0.43268252100839955,17.114500002955154,13.219604006432995,406.5632866078671,5062.752167011487,1
0.0,102.00059426006396,281.7450489056912,340.87476977358443,26.247083974160233,467.15108925643545,5014.152696484949,3
41.78135394470804,31.668703400199334,0.8700375792010842,18.037525165197778,14.023683162899186,443.3800341240557,3249.3980234105265,0
252.42686890089882,39.961240359128496,38.3228316493636,47.40223063605687,10.351718940673804,409.7418596248498,4197.1225373786465,2
31.45090914517281,21.766307651966716,1.0718313307780691,13.853766411199478,14.818352581172004,456.922339901523,3520.3810554441898,0
44.369245790751094,116.75758127893813,0.8151468635856916,148.89847930567475,87.6286165371845,729.0274557457946,4047.1046421493274,4
49.703893297779786,174.35695357860325,1.0226144723672967,223.23621462119087,103.90338266238206,622.1020193669257,5881.248848951703,4
